number_id,gu_name,MY_id,type_id,PC_id,the_number_of_registered_vehicle
447,마포구,2022-01,1,3,2
448,마포구,2022-01,2,1,399
449,마포구,2022-01,2,2,105
450,마포구,2022-01,2,3,503
451,마포구,2022-01,3,1,2
452,마포구,2022-01,3,2,909
453,마포구,2022-01,3,3,592
454,마포구,2022-01,4,1,556
455,마포구,2022-01,4,2,166
456,마포구,2022-01,4,3,9
457,서대문구,2022-01,1,1,203
458,서대문구,2022-01,1,2,74
459,서대문구,2022-01,1,3,846
460,서대문구,2022-01,2,1,158
461,서대문구,2022-01,2,2,78
462,서대문구,2022-01,2,3,207
463,서대문구,2022-01,3,1,2
464,서대문구,2022-01,3,2,310
465,서대문구,2022-01,3,3,413
466,서대문구,2022-01,4,1,827
467,서대문구,2022-01,4,2,138
468,서대문구,2022-01,4,3,6
469,서초구,2022-01,1,1,207
470,서초구,2022-01,1,2,151
471,서초구,2022-01,1,3,225
472,서초구,2022-01,2,1,915
473,서초구,2022-01,2,2,156
474,서초구,2022-01,2,3,347
475,서초구,2022-01,3,1,3
476,서초구,2022-01,3,2,362
477,서초구,2022-01,3,3,717
478,서초구,2022-01,4,1,207
479,서초구,2022-01,4,2,177
480,서초구,2022-01,4,3,10
481,성동구,2022-01,1,1,123
482,성동구,2022-01,1,2,82
483,성동구,2022-01,1,3,519
484,성동구,2022-01,2,1,619
485,성동구,2022-01,2,2,92
486,성동구,2022-01,2,3,261
487,성동구,2022-01,3,1,2
488,성동구,2022-01,3,2,210
489,성동구,2022-01,3,3,787
490,성동구,2022-01,4,1,41
491,성동구,2022-01,4,2,163
492,성동구,2022-01,4,3,8
493,성북구,2022-01,1,1,95
494,성북구,2022-01,1,2,103
495,성북구,2022-01,1,3,410
496,성북구,2022-01,2,1,191
497,성북구,2022-01,2,2,105
498,성북구,2022-01,2,3,696
499,성북구,2022-01,3,1,3
500,성북구,2022-01,3,2,285
501,성북구,2022-01,3,3,1
502,성북구,2022-01,4,1,4
503,성북구,2022-01,4,2,455
504,성북구,2022-01,4,3,149
505,송파구,2022-01,1,1,125
506,송파구,2022-01,1,2,202
507,송파구,2022-01,1,3,779
508,송파구,2022-01,2,1,615
509,송파구,2022-01,2,2,209
510,송파구,2022-01,2,3,519
511,송파구,2022-01,3,1,4
512,송파구,2022-01,3,2,631
513,송파구,2022-01,3,3,1
514,송파구,2022-01,4,1,6
515,송파구,2022-01,4,2,350
516,송파구,2022-01,4,3,160
517,양천구,2022-01,1,1,119
518,양천구,2022-01,1,2,127
519,양천구,2022-01,1,3,182
520,양천구,2022-01,2,1,522
521,양천구,2022-01,2,2,131
522,양천구,2022-01,2,3,823
523,양천구,2022-01,3,1,3
524,양천구,2022-01,3,2,542
525,양천구,2022-01,3,3,764
526,양천구,2022-01,4,1,364
527,양천구,2022-01,4,2,136
528,양천구,2022-01,4,3,11
529,영등포구,2022-01,1,1,132
530,영등포구,2022-01,1,2,117
531,영등포구,2022-01,1,3,251
532,영등포구,2022-01,2,1,696
533,영등포구,2022-01,2,2,121
534,영등포구,2022-01,2,3,79
535,영등포구,2022-01,3,1,4
536,영등포구,2022-01,3,2,284
537,영등포구,2022-01,3,3,171
538,영등포구,2022-01,4,1,512
539,영등포구,2022-01,4,2,178
540,영등포구,2022-01,4,3,15
541,용산구,2022-01,1,1,135
542,용산구,2022-01,1,2,69
543,용산구,2022-01,1,3,698
544,용산구,2022-01,2,1,70
545,용산구,2022-01,2,2,828
546,용산구,2022-01,2,3,55
547,용산구,2022-01,3,1,61
548,용산구,2022-01,3,2,60
549,용산구,2022-01,3,3,2
550,용산구,2022-01,4,1,137
551,용산구,2022-01,4,2,5
552,용산구,2022-01,4,3,268
553,은평구,2022-01,1,1,101
554,은평구,2022-01,1,2,111
555,은평구,2022-01,1,3,919
556,은평구,2022-01,2,1,998
557,은평구,2022-01,2,2,116
558,은평구,2022-01,2,3,18
559,은평구,2022-01,3,1,3
560,은평구,2022-01,3,2,604
561,은평구,2022-01,3,3,744
562,은평구,2022-01,4,1,394
563,은평구,2022-01,4,2,147
564,은평구,2022-01,4,3,10
565,종로구,2022-01,1,1,1
566,종로구,2022-01,1,2,736
567,종로구,2022-01,1,3,39
568,종로구,2022-01,2,1,674
569,종로구,2022-01,2,2,41
570,종로구,2022-01,2,3,451
571,종로구,2022-01,3,1,678
572,종로구,2022-01,3,2,1
573,종로구,2022-01,3,3,643
574,종로구,2022-01,4,1,3
575,종로구,2022-01,4,2,576
576,종로구,2022-01,4,3,365
577,중구,2022-01,1,1,278
578,중구,2022-01,1,2,47
579,중구,2022-01,1,3,268
580,중구,2022-01,2,1,960
581,중구,2022-01,2,2,50
582,중구,2022-01,2,3,506
583,중구,2022-01,3,1,1
584,중구,2022-01,3,2,921
585,중구,2022-01,3,3,262
586,중구,2022-01,4,1,928
587,중구,2022-01,4,2,184
588,중구,2022-01,4,3,5
589,중랑구,2022-01,1,1,80
590,중랑구,2022-01,1,2,89
591,중랑구,2022-01,1,3,329
592,중랑구,2022-01,2,1,742
593,중랑구,2022-01,2,2,95
594,중랑구,2022-01,2,3,151
595,중랑구,2022-01,3,1,3
596,중랑구,2022-01,3,2,588
597,중랑구,2022-01,3,3,549
598,중랑구,2022-01,4,1,171
599,중랑구,2022-01,4,2,125
600,중랑구,2022-01,4,3,11
601,강남구,2022-02,1,1,150
602,강남구,2022-02,1,2,200
603,강남구,2022-02,1,3,564
604,강남구,2022-02,2,1,854
605,강남구,2022-02,2,2,219
606,강남구,2022-02,2,3,568
607,강남구,2022-02,3,1,4
608,강남구,2022-02,3,2,309
609,강남구,2022-02,3,3,628
610,강남구,2022-02,4,1,991
611,강남구,2022-02,4,2,179
612,강남구,2022-02,4,3,13
613,강동구,2022-02,1,1,101
614,강동구,2022-02,1,2,126
615,강동구,2022-02,1,3,797
616,강동구,2022-02,2,1,158
617,강동구,2022-02,2,2,132
618,강동구,2022-02,2,3,56
619,강동구,2022-02,3,1,3
620,강동구,2022-02,3,2,680
621,강동구,2022-02,3,3,695
622,강동구,2022-02,4,1,416
623,강동구,2022-02,4,2,154
624,강동구,2022-02,4,3,12
625,강북구,2022-02,1,1,104
626,강북구,2022-02,1,2,60
627,강북구,2022-02,1,3,819
628,강북구,2022-02,2,1,125
629,강북구,2022-02,2,2,63
630,강북구,2022-02,2,3,48
631,강북구,2022-02,3,1,2
632,강북구,2022-02,3,2,524
633,강북구,2022-02,3,3,719
634,강북구,2022-02,4,1,306
635,강북구,2022-02,4,2,130
636,강북구,2022-02,4,3,7
637,강서구,2022-02,1,1,126
638,강서구,2022-02,1,2,164
639,강서구,2022-02,1,3,624
640,강서구,2022-02,2,1,371
641,강서구,2022-02,2,2,177
642,강서구,2022-02,2,3,121
643,강서구,2022-02,3,1,4
644,강서구,2022-02,3,2,910
645,강서구,2022-02,3,3,1
